,guid,stock,title,summary,published,p_date,sentiment_summary,sentiment_title
44,e1ca1e0b-c511-3df1-9043-eeb7c608569b,LTHM,Philadelphia-based Livent's shares rise with GM electric vehicle deal,"Livent will help power GM's next generation of electric vehicles including the Chevrolet Blazer EV, Chevrolet Silverado EV, GMC Hummer EV and Cadillac Lyriq.","Tue, 26 Jul 2022 13:23:51 +0000",LTHM_2022-07-26,0.4019,0.296
45,486dcb20-fd61-3030-96b6-157d1559f8be,LTHM,General Motors and Livent Enter Long-Term Lithium Hydroxide Supply Agreement,"Livent and General Motors Co. announced today a significant multi-year sourcing agreement in which Livent will supply GM with battery-grade lithium hydroxide made primarily from lithium extracted at Livent's brine-based operations in South America. Lithium hydroxide is crucial to GM's plans to make higher performance, higher mileage EVs. The lithium hydroxide from Livent will be used in GM's Ultium battery cathodes, which will power electric vehicles such as the recently revealed Chevrolet Blaze","Tue, 26 Jul 2022 11:03:00 +0000",LTHM_2022-07-26,0.6124,0.4939
46,4f25935d-1182-3904-a83f-a042cdab24e2,LTHM,"GM signs agreements with suppliers, on course to reach 1 million EV capacity by 2025","With the latest deals, GM said it had lined up supplies for all battery raw materials, including lithium, nickel, cobalt and cathode active material, and was on course to reach its goal of producing 1 million EVs annually in North America by end-2025.  LG Chem will supply GM with 968,000 tons of cathode material starting in the second half of 2022 through 2030, enough for about 5 million EVs, GM said.","Tue, 26 Jul 2022 10:07:30 +0000",LTHM_2022-07-26,0.4215,0.296
47,2c8be749-5422-3aef-a019-1cb13515f0f2,LTHM,Livent (LTHM) Outpaces Stock Market Gains: What You Should Know,"Livent (LTHM) closed the most recent trading day at $23.03, moving +0.79% from the previous trading session.","Mon, 25 Jul 2022 22:00:10 +0000",LTHM_2022-07-25,0.0,0.34
48,aca78515-c8c0-3444-9fd2-3c82e9fd8687,LTHM,Livent (LTHM) Dips More Than Broader Markets: What You Should Know,"Livent (LTHM) closed at $22.85 in the latest trading session, marking a -1.38% move from the prior day.","Fri, 22 Jul 2022 22:15:10 +0000",LTHM_2022-07-22,0.0,0.0
49,edbe8623-57d6-3d2f-9086-a44aa8dc0575,LTHM,Livent Corp Stock Has Composite Rating  Jump To 97,"On Friday, Livent Corp got an upgrade for its IBD SmartSelect Composite Rating from 92 to 97. The upgrade means the stock is now outpacing 97% of all other stocks in terms of key performance metrics and technical strength.","Fri, 22 Jul 2022 18:20:00 +0000",LTHM_2022-07-22,0.4939,0.0
50,38108617-2892-3f79-836e-45d5cd0acde9,LTHM,Can Livent (LTHM) Keep the Earnings Surprise Streak Alive?,Livent (LTHM) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,"Mon, 18 Jul 2022 16:10:04 +0000",LTHM_2022-07-18,0.6597,0.5719
51,1a00dddc-433a-3cbb-af43-256f50316f84,LTHM,Livent (LTHM) Gains But Lags Market: What You Should Know,"Livent (LTHM) closed at $20.24 in the latest trading session, marking a +0.7% move from the prior day.","Fri, 15 Jul 2022 22:15:10 +0000",LTHM_2022-07-15,0.0,-0.3716
52,27df33a4-c458-3726-8d01-a051573fdbbf,LTHM,Will Lithium Giant Livent's Earnings Crush Expectations Again?,"Livent stock soared 30% after last quarter's earnings release, so investors probably have high expectations for the second-quarter report.","Mon, 11 Jul 2022 14:00:00 +0000",LTHM_2022-07-11,0.0,-0.1531
53,b4f88d18-973d-3029-a6ee-6fe84bcdb2c9,LTHM,Livent (LTHM) Gains As Market Dips: What You Should Know,"Livent (LTHM) closed the most recent trading day at $22.25, moving +1.64% from the previous trading session.","Fri, 08 Jul 2022 22:15:10 +0000",LTHM_2022-07-08,0.0,0.34
54,50efc355-7424-35c2-9f0a-e5fab9d74348,LTHM,Livent Announces Date for Second Quarter 2022 Earnings Release and Webcast Conference Call,"Livent Corporation (NYSE: LTHM) today announced it will release its second quarter 2022 earnings on Tuesday, August 2, 2022, after stock market close via PR Newswire and the company's website at: http://www.livent.com.","Fri, 08 Jul 2022 20:05:00 +0000",LTHM_2022-07-08,0.0,0.0
55,c7b836f2-701f-3261-b86e-d2631349d33c,LTHM,Livent Publishes 2021 Sustainability Report,"Livent Corporation (NYSE: LTHM) today published its 2021 Sustainability Report. With the theme of Growing Responsibly, the report details the company's progress in 2021 and reaffirms its commitment to responsible production through its focus on environmental protection, social responsibility and transparency.","Wed, 06 Jul 2022 14:38:00 +0000",LTHM_2022-07-06,0.8126,0.0
56,2d439bd0-ec40-3731-a360-aa16477aea51,LTHM,When Should You Buy Livent Corporation (NYSE:LTHM)?,"Livent Corporation ( NYSE:LTHM ), is not the largest company out there, but it saw significant share price movement...","Mon, 04 Jul 2022 10:15:06 +0000",LTHM_2022-07-04,0.6124,0.0
57,569e56b7-625e-3c7e-acf8-3aaf5eebf4ed,LTHM,Livent (LTHM) Stock Moves -0.44%: What You Should Know,"Livent (LTHM) closed the most recent trading day at $22.69, moving -0.44% from the previous trading session.","Thu, 30 Jun 2022 22:15:10 +0000",LTHM_2022-06-30,0.0,0.0
58,59b5c39c-79b1-390b-8c14-9294607bf331,LTHM,Implied Volatility Surging for Livent (LTHM) Stock Options,Investors need to pay close attention to Livent (LTHM) stock based on the movements in the options market lately.,"Thu, 23 Jun 2022 12:46:12 +0000",LTHM_2022-06-23,-0.1027,0.0
59,5eea6570-501f-3aab-8c1a-f6d8f208c690,LAC,Lithium Americas Celebrates Inauguration of Lithium Technical Development Center in Nevada and Provides Thacker Pass Update,"Inauguration of Lithium Technical Development Center in Reno, Nevada In photo front left to right: Brian Sandoval, University of Nevada, Reno President; Jonathan Evans, President & CEO; Steve Sisolak, Governor of Nevada; Littlestar Abel; Maria Anderson, the Company’s Community Relations Manager; members of the Tribe; and Lithium Americas’ staff. VANCOUVER, British Columbia, July 20, 2022 (GLOBE NEWSWIRE) -- Lithium Americas Corp. (TSX: LAC) (NYSE: LAC) (""Lithium Americas"" or the ""Company"") celeb","Wed, 20 Jul 2022 20:57:00 +0000",LAC_2022-07-20,0.0,0.5719
60,d66ec13a-cf8a-3668-bc70-337b0a82b6cc,LAC,Lithium Americas Publishes 2021 ESG-S Report,"VANCOUVER, British Columbia, July 19, 2022 (GLOBE NEWSWIRE) -- Lithium Americas Corp. (TSX: LAC) (NYSE: LAC) (""Lithium Americas"" or the ""Company"") today published its 2021 Environment, Social, Governance and Safety (ESG-S) Report (the “Report”). The Report themed Enabling Transition, reaffirms the Company’s commitment to responsible development and production, as well as highlights the Company’s ESG-S practices and overall progress made over the past two years (reporting period of January 1, 202","Tue, 19 Jul 2022 12:58:00 +0000",LAC_2022-07-19,0.891,0.0
