name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
jujuy argentina,2015-10-05,29.3,6,17.8,28.3,6,17.4,8.4,61.4,0,0,0,,,,,20.2,188.7,,2.3,10.5,351.2,30.2,10,,2015-10-05T06:57:32,2015-10-05T19:22:06,0.79,Clear,Clear conditions throughout the day.,clear-day,"87047099999,SASJ,SASA,87046099999,remote"
jujuy argentina,2015-10-06,33.9,9.1,22,31.9,9.1,21.5,9,49.7,0,0,0,,,,,19.4,210,,8.4,10.7,340.5,29.4,10,,2015-10-06T06:56:32,2015-10-06T19:22:30,0.84,Clear,Clear conditions throughout the day.,clear-day,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-10-07,31.3,9.2,22.7,31.2,8.5,22.7,11.7,50.7,0,0,0,,,,,20.8,192.9,,38.2,10.1,325.7,28.2,10,,2015-10-07T06:55:32,2015-10-07T19:22:54,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87047099999,SASJ,SASA,87046099999,remote"
jujuy argentina,2015-10-08,18.7,12,14.7,18.7,12,14.7,11.4,81.5,1.3,100,33.33,rain,,,,22.1,213.8,,99.4,7.8,337.3,29.2,10,,2015-10-08T06:54:34,2015-10-08T19:23:19,0.92,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-10-09,16.3,10,13.9,16.3,8.7,13.8,7,64.7,1.9,100,25,rain,,,,22.3,219.8,,99.9,9.5,347,30,10,,2015-10-09T06:53:35,2015-10-09T19:23:44,0.95,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-10-10,13.4,9.7,11.9,13.4,8.2,11.8,4.2,59.7,1,100,12.5,rain,,,,21.3,191.7,,100,10.4,343.9,29.8,10,,2015-10-10T06:52:37,2015-10-10T19:24:09,0.98,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-10-11,15.3,7.7,10.8,15.3,5.3,10.1,4.4,66.4,0,0,0,,,,,14.3,193,,95.7,10.1,338.7,29.3,10,,2015-10-11T06:51:40,2015-10-11T19:24:35,1,Overcast,Cloudy skies throughout the day.,cloudy,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-10-12,17.5,6,12.2,17.5,5.1,12.2,4.7,61.3,0,0,0,,,,,19.2,155.7,,83.5,10.1,359.1,30.9,10,,2015-10-12T06:50:43,2015-10-12T19:25:01,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-10-13,25.2,5.7,14.6,25.2,2.9,13.9,3.7,52.9,0,0,0,,,,,17.6,195.1,,3.4,10.5,364.8,31.4,10,,2015-10-13T06:49:46,2015-10-13T19:25:28,0,Clear,Clear conditions throughout the day.,clear-day,"87047099999,SASJ,SASA,87046099999,remote"
jujuy argentina,2015-10-14,37,5.8,20.2,34,1,19.1,-1.6,39,0,0,0,,,,64.8,42.5,254.2,,14,10.6,371.8,32.1,10,,2015-10-14T06:48:51,2015-10-14T19:25:55,0.01,Clear,Clear conditions throughout the day.,clear-day,"87047099999,SASJ,SASA,87046099999,remote"
jujuy argentina,2015-10-15,29.3,14.8,22.6,27.9,14.8,22.3,-5.7,19.7,0,0,0,,,,44.6,27.7,183.9,,1.2,10.2,367.5,31.8,10,,2015-10-15T06:47:56,2015-10-15T19:26:22,0.03,Clear,Clear conditions throughout the day.,clear-day,"87047099999,SASJ,SASA,87046099999,remote"
jujuy argentina,2015-10-16,21.6,10.8,17.4,21.6,10.8,17.4,6.2,48.7,0,0,0,,,,,14.5,179.4,,47.7,10.7,334.2,28.8,10,,2015-10-16T06:47:02,2015-10-16T19:26:50,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-10-17,18.7,16,17.3,18.7,16,17.3,5.8,47.2,0,0,0,,,,,15.8,230.9,1010,69.4,9.8,327.6,28.4,10,,2015-10-17T06:46:08,2015-10-17T19:27:18,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-10-18,24,13.3,17.9,24,13.3,17.9,7.1,51,0,0,0,,,,,17.4,184,,62.1,10.5,207.9,17.9,7,,2015-10-18T06:45:15,2015-10-18T19:27:47,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-10-19,26,11.9,18,26,11.9,18,7.6,53.6,0,0,0,,,,,18.7,208.1,,24.5,10.1,292.1,25.2,10,,2015-10-19T06:44:23,2015-10-19T19:28:16,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87047099999,SASJ,SASA,87046099999,remote"
jujuy argentina,2015-10-20,29.6,16,22.7,28.3,16,22.4,7.9,40.9,0,0,0,,,,,25.2,235.8,,14.9,10.4,362.6,31.4,10,,2015-10-20T06:43:32,2015-10-20T19:28:45,0.23,Clear,Clear conditions throughout the day.,clear-day,"87047099999,SASJ,SASA,87046099999,remote"
jujuy argentina,2015-10-21,30.7,13.5,22.9,29.5,13.5,22.6,10.8,48.6,0,0,0,,,,37.1,18.1,165.7,,9.3,10.4,367.5,31.8,10,,2015-10-21T06:42:41,2015-10-21T19:29:15,0.28,Clear,Clear conditions throughout the day.,clear-day,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-10-22,31.3,16,23.9,30.3,16,23.7,11.3,47.1,0,0,0,,,,,24.6,181,,46.1,10.5,363.4,31.4,10,,2015-10-22T06:41:52,2015-10-22T19:29:46,0.34,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"87047099999,SASJ,SASA,87046099999"
jujuy argentina,2015-10-23,24.6,19,22.1,24.6,19,22.1,9.2,44.1,0,0,0,,,,,22.6,125.6,,65.5,10.1,324.8,27.8,10,,2015-10-23T06:41:03,2015-10-23T19:30:17,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"87047099999,SASJ,SASA,87046099999"
