datetime,LAC_1_temp,LAC_1_humidity,LAC_1_windspeed,LAC_1_conditions
2016-02-13,26.2,73.9,34.8,5
2016-02-14,23.2,83.3,18.4,5
2016-02-15,24.6,79.1,21.2,2
2016-02-16,23.5,71.6,18.4,2
2016-02-17,26.6,74.3,22.0,5
2016-02-18,26.0,77.1,27.7,5
2016-02-19,25.5,76.7,31.2,5
2016-02-20,21.2,87.4,23.0,4
2016-02-21,22.2,83.6,14.1,5
2016-02-22,23.4,81.2,19.1,2
2016-02-23,23.4,82.8,19.4,5
2016-02-24,22.4,79.9,22.1,5
2016-02-25,23.8,72.7,18.4,2
2016-02-26,25.0,76.6,17.1,5
2016-02-27,21.1,84.8,29.5,5
2016-02-28,21.9,83.3,16.6,5
2016-02-29,18.7,80.1,19.8,5
2016-03-01,17.6,74.2,22.4,5
2016-03-02,16.5,84.9,24.1,5
2016-03-03,17.1,79.6,21.2,5
2016-03-04,18.7,84.2,19.4,5
2016-03-05,15.1,84.7,24.1,5
2016-03-06,14.2,82.0,20.9,5
2016-03-07,17.3,82.8,16.6,5
2016-03-08,19.2,91.7,28.1,4
2016-03-09,18.9,69.9,13.5,5
2016-03-10,19.1,78.5,14.3,5
2016-03-11,17.5,87.6,18.4,2
2016-03-12,20.1,81.0,12.1,2
2016-03-13,18.7,85.4,11.9,2
2016-03-14,18.9,82.2,16.6,2
2016-03-15,19.6,82.2,12.5,2
2016-03-16,23.4,75.3,21.8,2
2016-03-17,24.7,76.0,17.4,2
2016-03-18,23.8,78.3,129.6,5
2016-03-19,16.4,88.8,17.4,5
2016-03-20,16.0,89.9,11.2,4
2016-03-21,18.4,79.0,9.9,2
2016-03-22,19.8,81.9,13.0,2
2016-03-23,19.1,84.6,22.3,5
2016-03-24,18.2,78.2,20.3,10
2016-03-25,18.0,79.4,21.5,4
2016-03-26,17.2,79.9,10.7,4
2016-03-27,17.4,83.0,15.0,5
2016-03-28,17.9,80.2,17.4,2
2016-03-29,18.7,81.2,16.9,2
2016-03-30,19.7,84.7,12.7,2
2016-03-31,21.3,79.4,12.5,2
2016-04-01,23.0,76.3,21.5,2
2016-04-02,24.3,74.0,19.0,5
2016-04-03,24.0,82.8,15.0,5
2016-04-04,23.3,85.4,18.4,5
2016-04-05,22.6,91.0,9.1,5
2016-04-06,20.3,91.2,9.6,2
2016-04-07,21.3,85.3,12.5,2
2016-04-08,21.6,85.1,14.3,2
2016-04-09,20.7,86.8,13.2,5
2016-04-10,18.4,88.4,18.7,4
2016-04-11,16.7,87.1,15.0,4
2016-04-12,16.0,89.0,11.2,4
2016-04-13,17.9,87.3,16.6,2
2016-04-14,19.2,76.9,16.8,2
2016-04-15,20.7,82.0,15.3,2
2016-04-16,20.9,75.5,16.9,2
2016-04-17,23.4,82.8,12.2,2
2016-04-18,19.1,89.2,11.2,5
2016-04-19,15.0,93.6,17.9,4
2016-04-20,16.1,83.4,15.0,5
2016-04-21,17.8,74.6,14.3,0
2016-04-22,17.0,83.3,11.2,2
2016-04-23,18.7,75.6,11.7,2
2016-04-24,18.1,84.1,12.7,2
2016-04-25,12.5,84.7,31.2,5
2016-04-26,9.3,71.3,20.8,5
2016-04-27,9.3,73.4,11.2,2
2016-04-28,9.5,74.5,13.2,2
2016-04-29,11.2,71.9,14.3,2
2016-04-30,11.5,74.7,16.1,2
2016-05-01,10.1,80.9,18.7,2
2016-05-02,13.8,77.2,10.4,1
2016-05-03,14.4,79.6,10.2,2
2016-05-04,13.2,77.5,13.2,2
2016-05-05,15.0,79.5,9.6,2
2016-05-06,15.3,83.2,11.2,2
2016-05-07,14.7,87.2,13.2,1
2016-05-08,15.1,85.9,5.7,1
2016-05-09,15.2,85.0,8.6,1
2016-05-10,15.9,85.4,10.7,4
2016-05-11,15.1,92.2,11.7,5
2016-05-12,15.6,91.0,10.7,5
2016-05-13,16.0,88.0,14.8,5
2016-05-14,15.7,88.1,10.1,2
2016-05-15,16.8,74.4,18.7,2
2016-05-16,12.1,82.0,11.2,2
2016-05-17,11.6,85.1,20.2,1
2016-05-18,11.4,89.3,8.3,4
2016-05-19,11.2,83.2,16.9,1
2016-05-20,10.7,80.2,9.7,2
2016-05-21,10.9,82.9,9.4,2
2016-05-22,10.6,77.4,15.5,2
2016-05-23,9.8,78.4,16.3,2
2016-05-24,11.6,65.9,21.3,2
2016-05-25,13.3,72.8,15.1,2
2016-05-26,14.5,72.9,19.2,2
2016-05-27,10.8,91.6,15.0,4
2016-05-28,10.2,87.4,16.6,1
2016-05-29,10.5,85.4,10.4,1
2016-05-30,11.9,77.5,13.5,2
2016-05-31,11.0,81.0,8.3,2
2016-06-01,10.1,84.2,8.8,2
2016-06-02,11.6,87.9,8.6,4
2016-06-03,11.7,89.0,13.0,4
2016-06-04,12.4,80.5,16.6,1
2016-06-05,9.9,88.7,8.4,4
2016-06-06,8.4,87.3,13.5,5
2016-06-07,8.3,77.3,14.0,3
2016-06-08,9.4,77.2,12.5,2
2016-06-09,9.0,82.5,11.9,2
2016-06-10,11.1,78.4,8.8,1
2016-06-11,8.9,82.8,9.9,1
2016-06-12,8.6,85.1,9.4,1
2016-06-13,9.8,79.3,9.4,2
2016-06-14,10.2,77.6,10.3,0
2016-06-15,11.5,75.2,14.3,2
2016-06-16,12.1,75.9,9.4,2
2016-06-17,10.8,84.0,14.8,1
2016-06-18,10.2,81.5,9.1,2
2016-06-19,10.6,80.2,8.1,1
2016-06-20,10.4,72.8,10.9,2
2016-06-21,8.0,73.0,13.2,2
2016-06-22,8.2,64.2,11.9,0
2016-06-23,9.8,72.1,14.0,0
2016-06-24,11.1,74.5,13.5,5
2016-06-25,8.8,86.3,26.0,9
2016-06-26,9.1,78.7,16.6,5
2016-06-27,8.2,84.2,10.7,1
2016-06-28,7.9,82.0,11.2,2
2016-06-29,8.9,81.8,9.6,2
2016-06-30,10.6,75.3,11.7,0
2016-07-01,13.3,82.6,10.3,2
2016-07-02,14.1,86.2,12.7,2
2016-07-03,12.5,92.2,9.4,1
2016-07-04,10.4,87.8,16.1,4
2016-07-05,10.1,73.7,11.9,2
2016-07-06,10.2,60.1,13.8,0
2016-07-07,10.2,61.7,18.4,0
2016-07-08,10.7,67.7,10.1,2
2016-07-09,12.2,67.0,24.5,0
2016-07-10,13.1,71.5,14.8,0
2016-07-11,14.9,73.3,28.8,0
2016-07-12,13.5,83.5,18.4,2
2016-07-13,14.3,79.0,9.4,2
2016-07-14,13.8,69.7,20.5,0
2016-07-15,11.5,84.1,18.7,2
2016-07-16,10.2,73.5,13.5,2
2016-07-17,9.8,74.2,17.6,1
2016-07-18,9.4,72.2,9.4,1
2016-07-19,8.7,73.8,11.2,2
2016-07-20,8.0,72.6,13.8,0
2016-07-21,9.5,72.2,12.2,0
2016-07-22,10.4,72.2,10.9,0
2016-07-23,12.5,68.3,12.7,2
2016-07-24,14.8,59.8,14.8,0
2016-07-25,16.0,66.4,13.2,0
2016-07-26,15.5,67.4,62.5,2
2016-07-27,9.5,75.7,17.9,1
2016-07-28,9.4,68.0,8.8,2
2016-07-29,11.3,63.7,14.5,2
2016-07-30,11.8,67.7,14.0,0
2016-07-31,15.7,62.4,24.1,0
2016-08-01,14.9,62.8,19.3,2
2016-08-02,14.5,62.0,10.3,2
2016-08-03,14.4,67.5,13.5,0
2016-08-04,15.7,65.1,12.5,0
2016-08-05,19.1,60.7,14.8,0
2016-08-06,18.8,64.0,28.5,2
2016-08-07,15.1,81.5,13.2,2
2016-08-08,16.2,71.1,15.1,5
2016-08-09,16.1,69.8,15.3,5
2016-08-10,15.4,66.5,19.1,0
2016-08-11,14.7,64.8,16.9,0
2016-08-12,15.6,60.3,15.6,0
2016-08-13,17.5,54.8,13.8,0
2016-08-14,20.1,47.9,16.6,0
2016-08-15,20.7,47.5,16.3,0
2016-08-16,21.3,44.6,16.9,0
2016-08-17,18.8,40.3,34.0,0
2016-08-18,14.6,50.3,14.8,0
2016-08-19,14.3,49.0,15.8,0
2016-08-20,9.3,51.5,26.2,2
2016-08-21,10.9,53.0,17.6,2
2016-08-22,11.6,53.0,17.1,0
2016-08-23,13.2,48.2,20.5,0
2016-08-24,15.1,44.7,16.8,0
2016-08-25,18.7,38.5,16.6,0
2016-08-26,20.1,44.0,21.0,0
2016-08-27,19.6,46.0,23.9,2
2016-08-28,12.7,55.3,24.1,5
2016-08-29,7.9,83.7,14.5,10
2016-08-30,12.7,57.9,13.5,0
2016-08-31,15.9,47.3,16.8,0
2016-09-01,15.1,48.0,22.8,2
2016-09-02,8.2,69.4,23.9,5
2016-09-03,7.3,57.4,26.7,4
2016-09-04,7.1,50.0,17.4,1
2016-09-05,7.1,48.6,15.3,2
2016-09-06,9.3,52.3,11.1,2
2016-09-07,11.7,47.8,13.5,0
2016-09-08,14.9,40.0,18.4,0
2016-09-09,16.9,41.3,17.6,0
