datetime,SQM_2_temp,SQM_2_humidity,SQM_2_windspeed,SQM_2_conditions
2016-07-27,15.6,75.8,20.5,2
2016-07-28,14.7,75.7,20.5,2
2016-07-29,14.7,68.8,18.4,2
2016-07-30,15.0,69.0,18.4,2
2016-07-31,14.7,72.4,24.1,2
2016-08-01,14.2,78.1,22.3,2
2016-08-02,14.3,71.9,18.4,2
2016-08-03,14.1,68.4,22.3,2
2016-08-04,14.7,67.8,18.4,2
2016-08-05,15.2,69.5,24.1,2
2016-08-06,15.3,73.1,24.1,2
2016-08-07,14.6,75.1,24.1,2
2016-08-08,15.2,65.6,18.4,2
2016-08-09,14.7,69.2,18.4,2
2016-08-10,14.9,68.1,20.5,2
2016-08-11,14.6,70.9,24.1,2
2016-08-12,14.5,73.6,20.5,2
2016-08-13,14.8,69.3,22.3,2
2016-08-14,14.8,73.0,22.3,2
2016-08-15,14.8,73.4,16.6,2
2016-08-16,15.7,68.5,18.4,2
2016-08-17,15.6,69.2,22.3,2
2016-08-18,15.7,67.5,24.1,2
2016-08-19,14.9,72.1,24.1,2
2016-08-20,14.8,75.8,22.3,2
2016-08-21,14.6,74.6,25.9,2
2016-08-22,16.0,67.4,24.1,2
2016-08-23,14.3,77.2,22.3,2
2016-08-24,15.2,72.7,25.9,2
2016-08-25,15.2,70.3,25.9,2
2016-08-26,15.0,76.6,27.7,2
2016-08-27,15.3,74.1,35.3,2
2016-08-28,14.6,74.8,29.5,2
2016-08-29,14.0,70.9,37.1,2
2016-08-30,14.3,83.1,37.1,2
2016-08-31,16.1,66.2,22.3,2
2016-09-01,15.2,74.5,33.5,2
2016-09-02,14.6,77.2,20.5,2
2016-09-03,14.5,71.9,22.3,2
2016-09-04,14.6,67.1,22.3,2
2016-09-05,14.1,75.7,31.7,2
2016-09-06,14.7,77.8,24.1,2
2016-09-07,15.0,75.5,29.5,2
2016-09-08,14.7,77.0,24.1,2
2016-09-09,14.9,71.4,24.1,2
2016-09-10,15.2,69.3,22.3,2
2016-09-11,14.6,70.2,25.9,2
2016-09-12,15.0,72.5,29.5,2
2016-09-13,15.5,70.4,18.4,1
2016-09-14,15.1,75.6,22.3,2
2016-09-15,14.7,76.3,22.3,2
2016-09-16,14.9,76.7,27.7,2
2016-09-17,15.3,74.9,27.7,2
2016-09-18,15.7,72.4,22.3,2
2016-09-19,15.5,73.1,22.3,2
2016-09-20,15.8,69.4,20.5,2
2016-09-21,15.9,72.3,25.9,2
2016-09-22,15.5,73.4,20.5,2
2016-09-23,15.7,70.7,24.1,2
2016-09-24,15.9,74.5,24.1,2
2016-09-25,15.1,77.0,27.7,1
2016-09-26,14.7,79.4,22.3,2
2016-09-27,15.1,72.7,25.9,2
2016-09-28,15.5,71.9,25.9,2
2016-09-29,15.6,70.1,31.7,2
2016-09-30,15.7,68.8,24.1,2
2016-10-01,15.6,69.5,27.7,2
2016-10-02,15.4,73.9,25.9,1
2016-10-03,15.8,73.5,33.5,2
2016-10-04,15.7,73.1,31.7,2
2016-10-05,16.5,71.8,22.3,2
2016-10-06,17.6,69.5,24.1,2
2016-10-07,16.7,76.2,25.9,2
2016-10-08,16.3,78.2,24.1,2
2016-10-09,16.4,75.2,22.3,2
2016-10-10,16.5,72.0,27.7,2
2016-10-11,16.3,73.5,24.1,2
