,headline,date,snippet,source
1048,BRIEF-Metech International's Unit Enters MoU With TES-USA To Co-Operate In Battery Recycling,26/04/2018,WITH TES-USA TO CO-OPERATE IN RECYCLING OFLITHIUM-ION BATTERIESSource,reuters
1049,Daimler joins China's Responsible Cobalt Initiative,25/04/2018,of the DRC. Cobalt is a key ingredient in rechargeable lithium-ion,reuters
1050,BRIEF-B&W Megtec Awarded Contract To Supply Coating Equipment,24/04/2018,OF LITHIUM-ION BATTERIES* BABCOCK & WILCOX ENTERPRISES - UNIT AWARDED TO COMMISSIONLITHIUM-ION BATTERY MANUFACTURING FACILITY IN Q2 2019Source text for Eikon:Further company coverage:,reuters
1051,BRIEF-Lithium Brine Bench Testing Update,24/04/2018,April 24 (Reuters) - Enertopia Corp:* LITHIUM BRINE BENCH TESTING,reuters
1052,Lockheed says 'flow' battery will boost use of renewable power,23/04/2018,"batteries, which use chemicals dissolved in water, last longer than lithium compared to about two to four hours for lithium ion batteries",reuters
1053,Volvo Trucks plans to share electric truck battery tech across brands,23/04/2018,"announced it would launch lithium-ion battery powered, medium-duty trucks",reuters
1054,CORRECTED-Volvo Trucks plans to share electric truck battery tech across brands,23/04/2018,"launch lithium-ion batterypowered, medium-duty trucks for deliveries",reuters
1055,Exclusive: China's Lishen plans first European sales office for electric vehicle batteries - source,23/04/2018,the company is in advanced talks with Tianjin Lishen on lithium-ion battery to cut noxious fumes from fossil-fueled cars.They are buying lithium-ion,reuters
1056,Bolivia to invest in billion-dollar lithium deal with ACI Systems,21/04/2018,"LA PAZ (Reuters) - Bolivia will manufacture and market lithium $1.3 billion in the project, the country's manager of the lithium",reuters
1057,BUZZ-Shares in Chile lithium miner SQM up sharply following auction,20/04/2018,April 20 (Reuters) - ** Chile lithium miner SQMshares up sharply,reuters
1058,"Banchile auctions 1.5 mln shares in Chile's SQM, raises $76 mln",20/04/2018,auctioned 1.5 million series-A shares in Chile lithiumminer SQM at a sale of the world's largest and most cost-efficient producersof lithium,reuters
