,headline,date,snippet,source
131,"Factbox: New mines, expansions in lithium",15/12/2016,LONDON (Reuters) - The global lithium market is heading for a surplus new projects.The four main lithium producers this year announced,reuters
132,"BRIEF-Albemarle - Tianqi to acquire 20% indirect ownership interest in Rockwood Lithium GmbH, units",30/11/2016,"Nov 30 (Reuters) - Albemarle Corp* Tianqi has given notice in Rockwood LithiumGmbH, unitsSource text for Eikon: Further company coverage:",reuters
133,Deals of the day- Mergers and acquisitions,26/09/2016,"Minérios, Wabtec, Tianqi Lithium, Atlantic City)Sept 26 (Reuters buyout firm scrapped a higheroffer.** China's Tianqi Lithium said",reuters
134,RPT-COLUMN-The lithium supply battle starts to heat up: Andy Home,20/09/2016,"among the lithium establishment.Its joint owners are Tianqi Lithium of the growth in the lithium industry"".CONFUSION IN CHILETianqi's ambitions",reuters
135,The lithium supply battle starts to heat up: Andy Home,20/09/2016,joint owners are Tianqi Lithium and Albemarle. The former snapped upBy Andy HomeLONDON (Reuters) - The lithium rush is on. Not a day,reuters
136,COLUMN-The lithium supply battle starts to heat up: Andy Home,20/09/2016,"establishment.Its joint owners are Tianqi Lithium andAlbemarle. The former for Reuters.)By Andy HomeLONDON, Sept 20 (Reuters) - The lithium rush",reuters
137,China's Tianqi Lithium to build $300 mln plant in Australia,06/09/2016,"MELBOURNE, Sept 6 (Reuters) - China's Tianqi LithiumIndustries 24,000 tonnes a year of lithium hydroxide,boosting Tianqi's processing",reuters
138,"RPT-COLUMN-What price lithium, the metal of the future? Andy Home",06/06/2016,"percent by China's Tianqi Lithium, which takesalmost all of the mine's (Reuters) - Lithium is shaping up to be TheNext Big Thing.Prices are going",reuters
139,"What price lithium, the metal of the future? Andy Home",06/06/2016,"by China's Tianqi Lithium, which takes almost all of the mine's output are those of the author, a columnist for Reuters.) Lithium is shaping up",reuters
140,"COLUMN-What price lithium, the metal of the future? Andy Home",06/06/2016,"for Reuters)*By Andy HomeLONDON, June 6 (Reuters) - Lithium is shaping.The Global X lithium fund, one of the very few ways toget",reuters
141,China stocks hit 3-week highs as property shares up on pricing data,16/02/2015,surged. Shares of Sichuan Tianqi LithiumIndustries Inc jumped 10,reuters
