idx,headline,date,source
219,Tesla shows us how to think big on renewables,2017-07-11T14:21:02Z,The Guardian
220,All in on renewable energy: Jay Weatherill to ramp up SA target to 75%,2018-02-21T00:52:05Z,The Guardian
221,Lithium should be more widely used for bipolar disorder,2016-08-14T16:52:52Z,The Guardian
222,Life after coal: the South Australian city leading the way,2018-07-19T18:00:46Z,The Guardian
223,South Australia on track to meet 75% renewables target Liberals promised to scrap,2018-07-25T01:38:52Z,The Guardian
224,Big new renewable projects planned across Australia as Tesla effect hits,2018-01-11T06:20:09Z,The Guardian
225,Sanjeev Gupta: Coal power is no longer cheaper – and we'll prove it,2018-07-22T18:00:12Z,The Guardian
226,Satellite Eye on Earth: November and December 2017 - in pictures,2018-01-23T06:00:01Z,The Guardian
227,Apple apologises for slowing down older iPhones with ageing batteries,2017-12-29T07:15:16Z,The Guardian
228,Nickel mining: the hidden environmental cost of electric cars,2017-08-24T05:00:10Z,The Guardian
229,Bill Shorten calls for $1.5bn illegal robodebt payments to be refunded – as it happened,2020-02-11T06:53:16Z,The Guardian
230,Time to face up to the electric car revolution | Letters,2017-08-07T17:52:37Z,The Guardian
231,Renewable energy: the growth industry on the hunt for graduates,2017-10-17T06:00:06Z,The Guardian
232,Electric cars: everything you need to know,2017-07-26T16:42:42Z,The Guardian
233,iPhone 8 Plus: Apple looking into reports of batteries bursting out of phones,2017-10-05T10:51:41Z,The Guardian
234,Hurricanes wreak the havoc of climate change – but is a green energy solution in sight? | Jonathan Watts,2017-09-12T09:07:38Z,The Guardian
235,China on track to lead in renewables as US retreats,2018-01-10T03:08:49Z,The Guardian
236,Electric car boom fuels interest in Bolivia’s fragile salt flats,2017-01-17T05:00:29Z,The Guardian
237,'All humanity has left the area': paying for Tesla's Gigafactory,2018-07-03T10:00:29Z,The Guardian
238,Future sailors: what will ships look like in 30 years?,2018-05-03T13:00:41Z,The Guardian
239,US electronics ban for Middle East flights endangers passengers for profit,2017-03-21T19:45:07Z,The Guardian
240,Unlikely heroes: how lithium mining could change the Pilbara for the better,2016-05-09T23:19:14Z,The Guardian
241,Australia needs Tesla battery to prevent summer blackouts,2017-07-11T06:43:11Z,The Guardian
242,Dark crystals: the brutal reality behind a booming wellness craze,2019-09-17T05:00:50Z,The Guardian
243,Tuesday briefing: North's fury over rail fiasco,2018-06-05T05:29:23Z,The Guardian
244,Whyalla steelworks to be powered by $700m solar,2017-10-31T08:42:10Z,The Guardian
245,Commentators who don't understand the grid should butt out of the battery debate | Ketan Joshi,2017-07-12T02:10:33Z,The Guardian
246,China cementing global dominance of renewable energy and technology,2017-01-06T09:00:14Z,The Guardian
247,The seven megatrends that could beat global warming: 'There is reason for hope',2017-11-08T07:00:38Z,The Guardian
248,The troubling fire record of UK recycling plants,2017-07-06T11:50:18Z,The Guardian
249,Apple reduces speed of iPhones as batteries wear out,2017-12-19T14:00:50Z,The Guardian
250,Arena to provide $12m for new battery at Dalrymple electricity substation,2017-08-22T20:36:10Z,The Guardian
251,First Tesla Model 3 rolls off production line ... into the hands of Elon Musk,2017-07-10T10:38:40Z,The Guardian
252,Tesla seeking to test driver-free electric trucks on public roads,2017-08-10T10:55:23Z,The Guardian
253,Renewables could reliably contribute 50% to power grid,2017-11-19T17:00:06Z,The Guardian
254,The eco guide to zero wasters,2017-08-27T05:00:01Z,The Guardian
255,Charged issue: how phone batteries work – and why some explode,2016-10-10T09:04:31Z,The Guardian
256,Port Augusta solar thermal plant to power South Australian government,2017-08-14T07:07:09Z,The Guardian
257,Tesla moves beyond electric cars with new California battery farm,2017-01-31T19:18:50Z,The Guardian
258,Keep button batteries away from children,2016-09-22T14:06:26Z,The Guardian
259,One man’s mission to conquer space,2018-02-11T07:00:40Z,The Guardian
260,Samsung Galaxy Note 7: airlines across Asia,2016-10-17T08:50:18Z,The Guardian
261,Green cabs: is London ready for electric taxis?,2017-11-28T07:31:02Z,The Guardian
262,iPhone 7 being investigated after surfer claims it set his car on fire,2016-10-21T19:46:41Z,The Guardian
263,Tesla Model X review: ‘The volume goes up to 11’ | Martin love,2017-10-01T05:00:08Z,The Guardian
264,Samsung blames two separate battery faults for Galaxy Note 7 fires,2017-01-23T03:04:44Z,The Guardian
265,It's exciting that Australia is getting a space agency. But what will it do? | Andrew P Street,2017-09-26T01:17:34Z,The Guardian
266,Turkey's Covid death toll hits record for ninth day – as it happened,2020-12-01T23:58:29Z,The Guardian
267,Airlines fit planes with fire-containment bags after exploding phone risk,2016-10-14T10:01:55Z,The Guardian
268,The eco guide to green lawns,2017-05-14T05:00:07Z,The Guardian
269,Extreme biohacking: the tech guru who spent $250,2018-09-21T12:00:27Z,The Guardian
270,Talks due on US flight laptop ban amid EU travel chaos concerns,2017-05-15T14:50:19Z,The Guardian
271,Apple looking into video of exploding iPhone 7 Plus,2017-02-24T10:01:17Z,The Guardian
272,Friday briefing: Unwelcome guest? Trump state visit in peril,2017-12-01T06:28:54Z,The Guardian
